Antecedent,Consequent,Confidence
21,8,0.40441663202943395
"12, 18",8,0.5737620617683535
"1, 2",8,0.4273307643641801
"17, 18",8,0.5188093206782554
"12, 2",8,0.5176955338091384
"1, 18",8,0.4978818663668487
"17, 2",8,0.4519206289779109
"1, 23",8,0.4415468022273482
"23, 8",1,0.42977676720008007
"7, 8",1,0.5315503312018992
"12, 17",8,0.5111029756661213
"1, 12",8,0.48705302096177555
